토픽,메시지수,기록길이_s,평균_Hz,중앙값간격_s,결손횟수,최대결손간격_s,간격_단위,간격_평균,간격_중앙값,간격_표준편차,간격_최소,간격_p95,간격_p99,간격_최대,지연_단위,지연_평균,지연_중앙값,지연_표준편차,지연_최소,지연_p95,지연_p99,지연_최대
/camera/camera_info,578,19.234,29.9985,0.033436,1,0.322707,s,0.033335,0.033436,0.012798,1.7e-05,0.035564,0.036715,0.322707,ms,4.175919,1.770838,21.938415,1.334345,2.201325,99.350905,287.932481
/scan,192,19.149,9.9743,0.100248,1,0.414631,s,0.100258,0.100248,0.025993,3.6e-05,0.100794,0.101724,0.414631,ms,104.506122,101.070795,28.478517,100.044578,101.772991,224.385494,415.184242
